,month_year,F2F_visit,Rep Triggered Email Count,Mass Mail Count,event_meeting,event_congress,remote_visit
0,2023-01,650.0,0.0,0.0,0.0,0.0,1.0
1,2023-02,2342.0,0.0,0.0,0.0,11.0,21.0
2,2023-03,3364.0,0.0,0.0,31.0,16.0,37.0
3,2023-04,2354.0,0.0,372.0,0.0,28.0,24.0
4,2023-05,3213.0,0.0,24.0,0.0,13.0,27.0
5,2023-06,2486.0,0.0,2.0,27.0,2.0,44.0
6,2023-07,1433.0,0.0,2.0,0.0,2.0,20.0
7,2023-08,907.0,28.0,0.0,0.0,0.0,17.0
8,2023-09,1669.0,348.0,0.0,24.0,9.0,110.0
9,2023-10,0.0,135.0,0.0,4.0,13.0,0.0
10,2023-11,0.0,361.0,2.0,0.0,8.0,0.0
11,2023-12,0.0,698.0,0.0,0.0,1.0,0.0
12,2024-01,0.0,36.0,0.0,0.0,0.0,0.0
13,2024-02,0.0,184.0,0.0,49.0,7.0,0.0
14,2024-03,0.0,590.0,0.0,41.0,11.0,0.0
